id_city,City,County,State,Zip,Region,id_employee
1,Rochester,Monroe,NY,14624,Northeast,526540
2,Luverne,Crenshaw,AL,36049,South,859327
3,Hodges,Franklin,AL,35571,South,887387
4,Savoy,Champaign,IL,61874,Midwest,779497
5,Stet,Carroll,MO,64680,Midwest,896517
6,Lyons,Toombs,GA,30436,South,220965
7,Kalida,Putnam,OH,45853,Midwest,721091
8,Hamilton,Jefferson,PA,15744,Northeast,633636
9,Panama,Shelby,IA,51562,Midwest,823898
10,Young America,Carver,MN,55558,Midwest,413865
11,Bear Creek,Outagamie,WI,54922,Midwest,439483
12,Harleysville,Montgomery,PA,19441,Northeast,809408
13,Reddick,Kankakee,IL,60961,Midwest,748190
14,Kreamer,Snyder,PA,17833,Northeast,397283
15,Sublette,Haskell,KS,67877,Midwest,553684
16,Mesa,Maricopa,AZ,85207,West,495667
17,Brockway,Jefferson,PA,15824,Northeast,936158
18,Atlanta,Fulton,GA,30371,South,537591
19,Washington,District of Columbia,DC,20242,South,909018
20,Lake Itasca,Lake Itasca,MN,56460,Midwest,878666
21,Montpelier,Blackford,IN,47359,Midwest,995710
22,Jeddo,St. Clair,MI,48032,Midwest,511059
23,Dallas,Barron,WI,54733,Midwest,754455
24,Reedley,Fresno,CA,93654,West,489275
25,Brandon,Hillsborough,FL,33511,South,500905
26,Hallsville,Ross,OH,45633,Midwest,984409
27,Belvidere,Boone,IL,61008,Midwest,812053
28,Dallas,Dallas,TX,75363,South,550206
29,Berwick,Warren,IL,61417,Midwest,728053
30,Vienna,Fairfax,VA,22184,South,184257
31,Lakewood,Cuyahoga,OH,44107,Midwest,235295
32,Crockett,Wythe,VA,24323,South,767674
33,Genesee Depot,Waukesha,WI,53127,Midwest,391837
34,Shasta Lake,Shasta,CA,96019,West,466560
35,Lookout Mountain,Walker,GA,30750,South,900756
36,Sesser,Franklin,IL,62884,Midwest,678628
37,Sterling Heights,Macomb,MI,48312,Midwest,492527
38,Hood,Madison,VA,22723,South,886060
39,Oktaha,Muskogee,OK,74450,South,366431
40,Briar,Ripley,MO,63931,Midwest,331297
41,Orefield,Lehigh,PA,18069,Northeast,496541
