id_job,date_join,salary,last_por_hike,id_employee
1,2001-03-24,193710,27,526540
2,2015-10-12,144133,30,859327
3,1979-12-11,132617,18,887387
4,2008-09-18,77898,15,779497
5,1993-07-14,139856,6,896517
6,2017-04-25,90576,23,220965
7,2017-04-27,178641,10,721091
8,2012-02-11,163773,10,633636
9,2009-07-01,50397,29,823898
10,2017-07-03,54458,12,413865
11,1995-04-27,120471,10,439483
12,2017-02-07,77853,29,809408
13,2016-02-07,169446,11,748190
14,2007-01-17,153446,7,397283
15,2015-12-26,95109,15,553684
16,2012-04-27,179134,16,495667
17,1993-07-18,150019,24,936158
18,2016-02-24,198487,26,537591
19,2016-11-21,199714,11,909018
20,2016-08-11,146140,4,878666
21,1997-08-01,86539,12,995710
22,2012-12-11,116308,28,511059
23,2011-02-26,184099,24,754455
24,1993-08-14,59428,7,489275
25,1999-01-29,147337,14,500905
26,2013-12-28,91921,28,984409
27,2014-10-02,143236,17,812053
28,2002-06-05,84087,1,550206
29,2004-03-06,87149,27,728053
30,2005-03-09,111117,14,184257
31,1995-10-14,129752,22,235295
32,2009-02-24,192236,10,767674
33,1992-03-31,79619,24,391837
34,2016-03-21,182967,13,466560
35,2010-03-31,126429,23,900756
36,2015-08-07,85523,17,678628
37,2009-03-18,149794,18,492527
38,2004-02-29,122324,1,886060
39,2016-01-20,58708,4,366431
40,2003-07-02,117633,28,331297
41,2016-01-18,126630,2,496541
42,1996-12-22,172325,5,654617
43,2015-03-20,167184,10,163409
44,2016-10-13,176777,1,299088
45,2009-10-17,115488,29,961442
46,1992-07-14,66883,1,155097
47,2003-09-25,140108,19,976422
48,2005-05-14,48198,22,138911
49,2006-04-25,50635,14,160938
50,2015-01-29,53198,3,399707
51,2014-05-12,45889,21,713294
52,2015-11-17,136675,26,627298
53,2002-06-29,87746,14,709884
54,1991-04-14,194249,8,932773
55,2005-10-10,185593,30,796605
56,2016-01-30,149011,23,885395
57,2016-12-31,76401,15,411503
58,2006-06-26,191292,4,622405
59,2004-03-20,185438,22,233136
60,2004-07-11,56546,22,170637
61,2013-03-30,192586,9,215719
62,2009-08-15,46371,24,452163
63,2016-10-31,49301,26,572204
64,2016-10-25,137648,22,779517
65,2002-11-18,171193,18,844157
66,2008-01-22,124808,14,312726
67,2014-10-21,131219,12,419549
68,1989-11-09,100218,12,505927
69,1983-12-25,178521,25,526254
70,2016-10-16,137705,1,460226
71,2016-09-16,187877,2,840113
72,2004-12-06,164189,14,432820
73,1987-10-05,124776,18,957596
74,2015-08-25,84449,3,530134
75,1994-07-24,71123,2,316372
76,2015-07-18,104020,2,501658
77,2002-07-15,136568,30,147133
78,2002-08-20,115204,22,551149
79,2017-04-28,140459,8,595558
80,2016-08-12,91209,19,637407
81,2013-07-01,109416,7,597741
82,1988-11-02,113419,11,403534
83,2012-12-22,115542,9,314661
84,2010-06-19,136780,26,317987
85,2015-10-20,100243,25,820109
86,2003-03-22,118321,0,388558
87,2000-01-05,48687,11,403207
88,2005-08-31,53789,30,143711
89,1987-02-01,119879,18,402180
90,2016-01-27,147420,14,242388
91,1998-04-14,57365,0,819367
92,2007-05-18,99825,10,962291
93,2015-04-23,125561,4,856379
